,row,model_num,ic value,Evidence,d(ic value)
374,124,3,1241.7492215074394,No support,879.033559688301
383,127,3,1241.7492215074394,No support,879.033559688301
371,123,3,1247.145633925828,No support,884.4299721066895
217,72,2,1264.8101169367885,No support,902.0944551176501
196,65,2,1300.7927830842075,No support,938.0771212650691
202,67,2,1300.7927830842075,No support,938.0771212650691
193,64,2,1300.7927830842075,No support,938.0771212650691
190,63,2,1300.7927830842075,No support,938.0771212650691
205,68,2,1300.7927830842075,No support,938.0771212650691
208,69,2,1300.7927830842075,No support,938.0771212650691
199,66,2,1300.7927830842075,No support,938.0771212650691
214,71,2,1300.7927830842075,No support,938.0771212650691
211,70,2,1300.7927830842075,No support,938.0771212650691
368,122,3,1346.8315811371883,No support,984.1159193180499
187,62,2,1358.075272667511,No support,995.3596108483725
184,61,2,1374.7884255564786,No support,1012.0727637373402
181,60,2,1374.7884255564786,No support,1012.0727637373402
178,59,2,1374.7884255564786,No support,1012.0727637373402
175,58,2,1374.7884255564786,No support,1012.0727637373402
169,56,2,1374.7884255564786,No support,1012.0727637373402
172,57,2,1374.7884255564786,No support,1012.0727637373402
166,55,2,1374.7884255564786,No support,1012.0727637373402
300,100,1,1384.6847731049988,No support,1021.9691112858604
365,121,3,1389.04964712413,No support,1026.3339853049915
359,119,3,1404.5415198089086,No support,1041.8258579897702
356,118,3,1404.5415198089086,No support,1041.8258579897702
353,117,3,1404.5415198089086,No support,1041.8258579897702
362,120,3,1404.5415198089086,No support,1041.8258579897702
163,54,2,1421.2946718150677,No support,1058.5790099959293
350,116,3,1432.619583301208,No support,1069.9039214820696
297,99,1,1435.0062241361961,No support,1072.2905623170577
347,115,3,1438.4637612514948,No support,1075.7480994323564
344,114,3,1439.8695301790005,No support,1077.1538683598621
341,113,3,1440.3582609798004,No support,1077.642599160662
285,95,1,1454.24294106884,No support,1091.5272792497017
288,96,1,1454.24294106884,No support,1091.5272792497017
282,94,1,1454.24294106884,No support,1091.5272792497017
294,98,1,1454.24294106884,No support,1091.5272792497017
276,92,1,1454.24294106884,No support,1091.5272792497017
279,93,1,1454.24294106884,No support,1091.5272792497017
291,97,1,1454.24294106884,No support,1091.5272792497017
329,109,3,1459.5975613813098,No support,1096.8818995621714
335,111,3,1459.5975613813098,No support,1096.8818995621714
332,110,3,1459.5975613813098,No support,1096.8818995621714
338,112,3,1459.5975613813098,No support,1096.8818995621714
273,91,1,1468.0214316587094,No support,1105.305769839571
270,90,1,1471.2665905550966,No support,1108.5509287359582
326,108,3,1477.9424585015265,No support,1115.226796682388
267,89,1,1492.9691531382448,No support,1130.2534913191064
323,107,3,1522.889566208672,No support,1160.1739043895336
320,106,3,1556.0568971643197,No support,1193.3412353451813
264,88,1,1558.4726736117325,No support,1195.757011792594
261,87,1,1579.2345874820958,No support,1216.5189256629574
160,53,2,1604.9139729109647,No support,1242.1983110918263
246,82,1,1617.9482530950556,No support,1255.2325912759172
252,84,1,1617.9482530950556,No support,1255.2325912759172
255,85,1,1617.9482530950556,No support,1255.2325912759172
243,81,1,1617.9482530950556,No support,1255.2325912759172
258,86,1,1617.9482530950556,No support,1255.2325912759172
249,83,1,1617.9482530950556,No support,1255.2325912759172
240,80,1,1621.762966593416,No support,1259.0473047742776
157,52,2,1623.5104970821203,No support,1260.794835262982
142,47,2,1640.1597266542449,No support,1277.4440648351065
136,45,2,1640.1597266542449,No support,1277.4440648351065
145,48,2,1640.1597266542449,No support,1277.4440648351065
148,49,2,1640.1597266542449,No support,1277.4440648351065
139,46,2,1640.1597266542449,No support,1277.4440648351065
151,50,2,1640.1597266542449,No support,1277.4440648351065
154,51,2,1640.1597266542449,No support,1277.4440648351065
317,105,3,1643.1426497230593,No support,1280.426987903921
237,79,1,1645.2210301065363,No support,1282.505368287398
302,100,3,1650.3032948079829,No support,1287.5876329888445
305,101,3,1650.3032948079829,No support,1287.5876329888445
299,99,3,1650.3032948079829,No support,1287.5876329888445
314,104,3,1650.3032948079829,No support,1287.5876329888445
311,103,3,1650.3032948079829,No support,1287.5876329888445
296,98,3,1650.3032948079829,No support,1287.5876329888445
308,102,3,1650.3032948079829,No support,1287.5876329888445
225,75,1,1654.2328838816393,No support,1291.5172220625009
213,71,1,1654.2328838816393,No support,1291.5172220625009
216,72,1,1654.2328838816393,No support,1291.5172220625009
234,78,1,1654.2328838816393,No support,1291.5172220625009
231,77,1,1654.2328838816393,No support,1291.5172220625009
222,74,1,1654.2328838816393,No support,1291.5172220625009
228,76,1,1654.2328838816393,No support,1291.5172220625009
219,73,1,1654.2328838816393,No support,1291.5172220625009
210,70,1,1657.2038527547538,No support,1294.4881909356154
293,97,3,1657.5110782017175,No support,1294.795416382579
290,96,3,1661.9873605137705,No support,1299.271698694632
133,44,2,1667.2979955103665,No support,1304.582333691228
287,95,3,1669.4002076383445,No support,1306.684545819206
